11,1
12,1
12,2
13,1
13,2
13,3
14,1
14,2
14,3
16,1
17,1
17,2
17,3
18,1
18,2
18,3
18,4
18,5
18,6
18,7
18,8
19,1
19,2
19,3
19,4
20,1
20,2
20,3
20,4
20,5
20,6
20,7
20,8
21,1
21,2
21,3
21,4
21,5
22,1
22,2
22,3
22,4
22,5
22,6
22,7
22,8
22,9
22,10
22,11
23,1
23,2
23,3
23,4
23,5
23,6
23,7
23,8
24,1
24,2
24,3
24,4
24,5
24,6
24,7
24,8
25,1
25,2
25,3
25,4
25,5
25,6
25,7
25,8
25,9
26,1
26,2
26,3
26,4
26,5
26,6
26,7
26,8
26,9
26,10
26,11
26,12
27,1
27,2
27,3
27,4
27,5
27,6
27,7
27,8
27,9
27,10
27,11
27,12
28,1
28,2
29,1
30,1
30,2
30,3
31,1
31,2
31,3
32,1
33,1
33,2
33,3
34,1
34,2
35,1
35,2
36,1
36,2
37,1
37,2
37,3
37,4
38,1
40,1
40,2
41,1
42,1
42,2
42,3
43,1
43,2
22,1
22,2
24,1
24,2
25,1
25,2
25,3
26,1
27,1
27,2
27,3
29,1
30,1
30,2
30,3
31,1
32,1
32,2
32,3
32,4
33,1
33,2
34,1
34,2
35,1
36,1
36,2
36,3
36,4
36,5
36,6
37,1
37,2
38,1
39,1
39,2
39,3
39,4
40,1
41,1
41,2
41,3
42,1
43,1
44,1
44,2
45,1
45,2
46,1
47,1
47,2
48,1
49,1
49,2
49,3
50,1
24,1
25,1
26,1
26,2
26,3
26,4
26,5
28,1
28,2
28,3
28,4
28,5
29,1
29,2
29,3
29,4
29,5
29,6
30,1
30,2
30,3
30,4
30,5
30,6
30,7
31,1
31,2
31,3
31,4
31,5
31,6
31,7
31,8
31,9
32,1
32,2
32,3
32,4
32,5
32,6
32,7
33,1
33,2
33,3
33,4
33,5
33,6
33,7
33,8
33,9
33,10
34,1
34,2
34,3
34,4
34,5
34,6
34,7
34,8
34,9
34,10
34,11
35,1
35,2
35,3
35,4
35,5
35,6
35,7
35,8
35,9
35,10
35,11
35,12
36,1
36,2
36,3
36,4
36,5
36,6
36,7
36,8
36,9
36,10
36,11
36,12
36,13
36,14
36,15
36,16
36,17
37,1
37,2
37,3
37,4
37,5
37,6
37,7
37,8
37,9
37,10
37,11
37,12
37,13
37,14
38,1
38,2
38,3
38,4
38,5
38,6
38,7
38,8
38,9
38,10
38,11
38,12
38,13
39,1
39,2
39,3
39,4
39,5
39,6
39,7
39,8
39,9
39,10
39,11
39,12
39,13
39,14
40,1
40,2
40,3
40,4
40,5
40,6
40,7
40,8
40,9
40,10
40,11
40,12
40,13
40,14
40,15
40,16
41,1
41,2
41,3
41,4
41,5
41,6
41,7
41,8
41,9
41,10
41,11
41,12
41,13
41,14
42,1
42,2
42,3
42,4
42,5
42,6
42,7
42,8
42,9
42,10
42,11
42,12
42,13
42,14
43,1
43,2
43,3
43,4
43,5
43,6
43,7
43,8
43,9
43,10
43,11
43,12
43,13
43,14
43,15
43,16
43,17
44,1
44,2
44,3
44,4
44,5
44,6
44,7
44,8
44,9
44,10
44,11
44,12
44,13
44,14
44,15
44,16
45,1
45,2
45,3
45,4
45,5
45,6
45,7
45,8
45,9
45,10
45,11
45,12
45,13
46,1
46,2
46,3
46,4
46,5
46,6
46,7
46,8
46,9
46,10
46,11
46,12
46,13
46,14
47,1
47,2
47,3
47,4
47,5
47,6
47,7
47,8
47,9
47,10
47,11
48,1
48,2
48,3
48,4
48,5
48,6
48,7
49,1
49,2
49,3
49,4
49,5
49,6
50,1
50,2
50,3
